concert_name,artists,date,time,city,state,price_min,price_max
Chemical Brothers w/ Charlotte de Witte,"['Chemical Brothers', 'Charlotte de Witte']",2019-08-01,18:30:00,Forest Hills,NY,N/A,N/A
Chris Isaak w/ Marc Broussard,"['Chris Isaak', 'Marc Broussard']",2019-07-30,18:30:00,Lewiston,NY,N/A,N/A
Badfish,['Badfish - A Tribute To Sublime'],2019-08-01,17:00:00,Buffalo,NY,N/A,N/A
Flaming Lips w/ The Claypool Lennon Delirium,"['The Flaming Lips', 'The Claypool Lennon Delirium']",2019-07-27,18:00:00,Lewiston,NY,N/A,N/A
Flaming Lips,['The Flaming Lips'],2019-08-02,19:00:00,Utica,NY,N/A,N/A
Long Beach Dub All-Stars w/ The Aggrolites,"['Long Beach Dub Allstars', 'The Aggrolites']",2019-07-27,20:00:00,Brooklyn,NY,N/A,N/A
Chase Rice,['Chase Rice'],2019-08-02,19:00:00,Baldwinsville,NY,N/A,N/A
Kodaline,['Kodaline'],2019-07-26,20:00:00,Clifton Park,NY,N/A,N/A
Nelly,['Nelly'],2019-08-10,17:00:00,Buffalo,NY,N/A,N/A
Chas Cole For CMP Entertainment Presents BRIT FLOYD World Tour 2019,['Brit Floyd'],2019-07-25,20:00:00,Huntington,NY,N/A,N/A
Brett Eldredge,['Brett Eldredge'],2019-07-25,20:00:00,Monticello,NY,55.0,55.0
VIP Box Seating: Interswitch One Africa Music Fest,"['One Africa', 'Wyclef Jean', 'Burna Boy', '2 Face', 'Tekno', 'Tiwa Savage', 'Casanova', 'Teni', 'Harmonize', 'Kranium', 'Diamond Platnumz', 'Jah Prayzah']",2019-08-10,18:00:00,Brooklyn,NY,200.0,200.0
Almost Queen,['Almost Queen'],2019-07-20,20:00:00,Port Chester,NY,N/A,N/A
Brit Floyd,['Brit Floyd'],2019-07-30,19:30:00,Buffalo,NY,42.5,42.5
Khalid Meet & Greet Upgrade Package (TICKET NOT INCLUDED),['Khalid'],2019-07-31,19:30:00,New York,NY,N/A,N/A
Khalid Meet & Greet Upgrade Package (TICKET NOT INCLUDED),['Khalid'],2019-08-01,19:30:00,New York,NY,N/A,N/A
